LimesLimits sites_LimesLimits_ID;final_groups_1_FINAL GROUP;Site_type;final_groups_LimesLimits_ID;LimesLimits sites_X_coordinate;LimesLimits sites_Y_coordinate;final_groups_X_coordinate;final_groups_Y_coordinate;Distance;final_groups_FINAL GROUP;obsolete
12;8;rural settlement;1111;189250;415750;190600;416100;1394,632568;6;FALSE
12;8;rural settlement;2117;189250;415750;187788;415962;1477,290764;6;FALSE
12;8;"rural settlement; burial(s)";18;189250;415750;188265;415195;1130,597187;5;FALSE
13;9;rural settlement;1111;189250;415750;190600;416100;1394,632568;6;FALSE
13;9;rural settlement;2117;189250;415750;187788;415962;1477,290764;6;FALSE
13;9;"rural settlement; burial(s)";18;189250;415750;188265;415195;1130,597187;5;FALSE
186;9;rural settlement;552;157470;442550;158310;442590;840,9518417;3;FALSE
186;9;rural settlement;554;157470;442550;158800;442500;1330,939518;4;FALSE
186;9;"rural settlement?; burial(s)";553;157470;442550;158715;442185;1297,401249;5;FALSE
502;9;rural settlement;503;139520;452190;138660;451850;924,7702417;6;FALSE
505;9;rural settlement;1178;136800;455830;136650;455000;843,4453154;2;FALSE
505;9;rural settlement;1179;136800;455830;137000;455250;613,514466;2;FALSE
547;9;"rural settlement; burial(s)?";245;153100;441750;154180;440870;1393,125981;4;FALSE
687;9;rural settlement?;2086;188400;442700;188060;443775;1127,486142;3;FALSE
687;9;rural settlement?;2087;188400;442700;188510;443880;1185,116028;2;FALSE
716;8;"cult site; rural settlement?";722;186800;436920;187300;437100;531,4132102;6;FALSE
716;8;rural settlement;673;186800;436920;187330;438020;1221,02416;3;FALSE
716;8;rural settlement;683;186800;436920;186150;437600;940,6912352;2;FALSE
716;8;rural settlement;701;186800;436920;185560;436160;1454,372717;2;FALSE
716;8;rural settlement;711;186800;436920;186150;436200;970;5;FALSE
716;8;"rural settlement; burial(s)";715;186800;436920;187500;436900;700,285656;5;FALSE
716;8;"rural settlement; burial(s)";724;186800;436920;186500;436200;780;6;FALSE
716;8;rural settlement?;2077;186800;436920;188200;437300;1450,655024;1;FALSE
733;9;rural settlement;761;189925;427820;190290;427850;366,2308015;6;FALSE
781;9;rural settlement;780;131325;455450;132310;455180;1021,334911;1;FALSE
781;9;rural settlement;782;131325;455450;131840;455790;617,1102009;5;FALSE
781;9;rural settlement;783;131325;455450;132300;455900;1073,83658;6;FALSE
781;9;rural settlement;784;131325;455450;130925;455725;485,412196;3;FALSE
781;9;rural settlement;786;131325;455450;131380;454100;1351,119906;4;FALSE
781;9;"rural settlement; road";787;131325;455450;132040;454740;1007,633366;5;FALSE
781;9;"rural settlement; road";3113;131325;455450;130710;454540;1098,328275;6;FALSE
781;9;"rural settlement; road; burial(s)";864;131325;455450;131550;455150;375;5;FALSE
781;9;"rural settlement; watchtower";830;131325;455450;131950;456350;1095,73035;4;FALSE
839;9;rural settlement?;587;167050;438950;166460;438070;1059,481005;3;FALSE
842;8;rural settlement;2147;188400;428725;188350;430125;1400,892573;2;FALSE
875;8;rural settlement;761;188850;428100;190290;427850;1461,540283;6;FALSE
1074;8;rural settlement, stone-built?;762;192610;425300;192510;426510;1214,125199;6;FALSE
1081;8;"burial(s); rural settlement?";1080;192150;439200;191840;439410;374,4329045;3;FALSE
1081;8;rural settlement;695;192150;439200;191600;439500;626,4982043;5;FALSE
1081;8;rural settlement;2088;192150;439200;191168;439607;1063,001881;4;FALSE
1119;8;rural settlement;370;167100;438150;166570;436830;1422,427503;6;FALSE
1119;8;rural settlement;373;167100;438150;168150;437450;1261,942946;6;FALSE
1119;8;rural settlement, stone-built?;372;167100;438150;167200;436850;1303,840481;6;FALSE
1119;8;rural settlement?;587;167100;438150;166460;438070;644,9806199;3;FALSE
1177;8;rural settlement;503;140000;452500;138660;451850;1489,328708;6;FALSE
2110;8;rural settlement;1146;193760;414080;194900;413150;1471,22398;3;FALSE
2136;9;rural settlement;2147;188250;428800;188350;430125;1328,768227;2;FALSE
2140;8;rural settlement;2147;188200;429000;188350;430125;1134,955946;2;FALSE
2140;8;rural settlement, stone-built?;731;188200;429000;187950;430470;1491,106971;7;FALSE
3054;8;"rural settlement?; burial(s)?";3147;89850;465900;89500;465800;364,0054945;3;FALSE
3082;9;rural settlement;3086;74290;452680;74750;452800;475,394573;1;FALSE
3082;9;rural settlement?;3084;74290;452680;75500;453300;1359,595528;2;FALSE
3148;8;"rural settlement?; burial(s)?";3147;89600;466300;89500;465800;509,9019514;3;FALSE
3153;8;rural settlement;1178;136490;455544;136650;455000;567,0414447;2;FALSE
3153;8;rural settlement;1179;136490;455544;137000;455250;588,6730841;2;FALSE
3164;9;"rural settlement?; burial(s)?";3147;90000;465570;89500;465800;550,3635162;3;FALSE
3165;8;"rural settlement?; burial(s)?";3147;90150;465260;89500;465800;845,0443775;3;FALSE
3166;8;rural settlement;3035;95500;462750;95839;463833;1134,817166;1;FALSE
3166;8;rural settlement;3128;95500;462750;96768;463082;1310,743301;6;FALSE
3166;8;rural settlement?;3064;95500;462750;94700;461540;1450,551619;2;FALSE
3169;8;rural settlement?;3076;110915;455182;110570;454880;458,5073609;3;FALSE
3171;8;rural settlement;780;131371;455393;132310;455180;962,8551293;1;FALSE
3171;8;rural settlement;782;131371;455393;131840;455790;614,4672489;5;FALSE
3171;8;rural settlement;783;131371;455393;132300;455900;1058,343045;6;FALSE
3171;8;rural settlement;784;131371;455393;130925;455725;556,0035971;3;FALSE
3171;8;rural settlement;786;131371;455393;131380;454100;1293,031322;4;FALSE
3171;8;"rural settlement; road";787;131371;455393;132040;454740;934,8636264;5;FALSE
3171;8;"rural settlement; road";3113;131371;455393;130710;454540;1079,133912;6;FALSE
3171;8;"rural settlement; road; burial(s)";864;131371;455393;131550;455150;301,8111993;5;FALSE
3171;8;"rural settlement; watchtower";830;131371;455393;131950;456350;1118,521345;4;FALSE
3175;10;rural settlement;3104;83769;452895;84383;451994;1090,319678;5;FALSE
3175;10;"rural settlement; burial(s); cult place?";3105;83769;452895;84300;452500;661,8051073;3;FALSE
3175;10;rural settlement?;3108;83769;452895;82670;452440;1189,464585;2;FALSE
3176;8;rural settlement;1178;136864;455899;136650;455000;924,119581;2;FALSE
3176;8;rural settlement;1179;136864;455899;137000;455250;663,0965239;2;FALSE
4021;9;"rural settlement?; burial(s)?";3147;89745;466180;89500;465800;452,1338297;3;FALSE
4023;9;rural settlement?;3076;110975;455225;110570;454880;532,0244355;3;FALSE
4064;9;rural settlement;3035;95510;462775;95839;463833;1107,973375;1;FALSE
4064;9;rural settlement;3128;95510;462775;96768;463082;1294,918144;6;FALSE
4064;9;rural settlement?;3064;95510;462775;94700;461540;1476,930939;2;FALSE
